Label,SubSpecies,HostSpecies
KJ473816,Sarbecovirus,Rhinolophus sinicus
KT444582,Sarbecovirus,Rhinolophus sinicus
KY417143,Sarbecovirus,Rhinolophus sinicus
KY417144,Sarbecovirus,Rhinolophus sinicus
KY417146,Sarbecovirus,Rhinolophus sinicus
KY417147,Sarbecovirus,Rhinolophus sinicus
KY417148,Sarbecovirus,Rhinolophus sinicus
KY417149,Sarbecovirus,Rhinolophus sinicus
KY417150,Sarbecovirus,Rhinolophus sinicus
KY417151,Sarbecovirus,Rhinolophus sinicus
KY417152,Sarbecovirus,Rhinolophus sinicus
KY770858,,Rhinolophus sinicus
KY770859,,Rhinolophus sinicus
MK720945,Decacovirus,Rhinolophus sinicus
MK720946,Decacovirus,Rhinolophus sinicus
KY352407,Sarbecovirus,Rhinolophus sp.
MF094685,,Rhinolophus sp.
MF094686,,Rhinolophus sp.
MF094687,,Rhinolophus sp.
MF094688,,Rhinolophus sp.
MK211374,Sarbecovirus,Rhinolophus sp.
MN611517,Duvinacovirus,Rousettus aegyptiacus
HM211098,Nobecovirus,Rousettus aegypticus
HM211099,Nobecovirus,Rousettus aegypticus
HM211100,Nobecovirus,Rousettus aegypticus
HM211101,Nobecovirus,Rousettus aegypticus
KU762338,Nobecovirus,Rousettus leschenaulti
MG762674,Nobecovirus,Rousettus sp.
MH687938,,Scotophilus kuhlii
MH687939,,Scotophilus kuhlii
MH687940,,Scotophilus kuhlii
MH687941,,Scotophilus kuhlii
MH687942,,Scotophilus kuhlii
MH687943,,Scotophilus kuhlii
MH687944,,Scotophilus kuhlii
MH687945,,Scotophilus kuhlii
MH687946,,Scotophilus kuhlii
MH687947,,Scotophilus kuhlii
MH687948,,Scotophilus kuhlii
MH687949,,Scotophilus kuhlii
MH687950,,Scotophilus kuhlii
MH687951,,Scotophilus kuhlii
MH687952,,Scotophilus kuhlii
MH687953,,Scotophilus kuhlii
MH687954,,Scotophilus kuhlii
MH687955,,Scotophilus kuhlii
MH687956,,Scotophilus kuhlii
MH687957,,Scotophilus kuhlii
MH687958,,Scotophilus kuhlii
MH687959,,Scotophilus kuhlii
MH687960,,Scotophilus kuhlii
MH687961,,Scotophilus kuhlii
MH687962,,Scotophilus kuhlii
MH687963,,Scotophilus kuhlii
MH687964,,Scotophilus kuhlii
MH687965,,Scotophilus kuhlii
MH687966,,Scotophilus kuhlii
MH687967,,Scotophilus kuhlii
MK211369,Pedacovirus,Scotophilus kuhlii
MK211370,Pedacovirus,Scotophilus kuhlii
MK211371,Pedacovirus,Scotophilus kuhlii
MK211372,Pedacovirus,Scotophilus kuhlii
MN611521,Pedacovirus,Scotophilus kuhlii
KY073744,Setracovirus,Triaenops afer
KY073745,Setracovirus,Triaenops afer
KY073746,Setracovirus,Triaenops afer
KJ473822,Merbecovirus,Tylonycteris pachypus
MN611519,Merbecovirus,Tylonycteris pachypus
MK720944,Nyctacovirus,Tylonycteris robustula
LC469308,,Vespertilio sinensis
KJ473821,Merbecovirus,Vespertilio superans
DQ648794,Sarbecovirus,
DQ648857,Sarbecovirus,
EF065508,Merbecovirus,
EF065509,Merbecovirus,
EF065510,Merbecovirus,
EF065511,Merbecovirus,
EF065512,Merbecovirus,
EF065513,Nobecovirus,
EF065514,Nobecovirus,
EF065515,Nobecovirus,
EF065516,Nobecovirus,
JQ989266,Decacovirus,
JQ989267,Decacovirus,
JQ989268,Decacovirus,
JQ989269,Decacovirus,
JQ989270,Decacovirus,
JQ989271,Decacovirus,
JQ989272,Decacovirus,
JQ989273,Decacovirus,
KU973692,Sarbecovirus,Rhinolophus pusillus
MF167434,Rhinacovirus,
MF370205,Rhinacovirus,
MG742313,Rhinacovirus,
MH002337,Merbecovirus,
MH002338,Merbecovirus,
MH002339,Merbecovirus,
MH539766,Rhinacovirus,
MH687934,,
MH687935,,
MH687936,,
MH687937,,
MH697599,Rhinacovirus,
NC_009657,Pedacovirus,

